,numberOfEntriesPurchasedPerCountryBy10000,dateRep,cases,deaths,geoId,countriesAndTerritories,country,averageEntriesPerCountryBy10000,difference_from_average
0,,2020-02-03,0,0,AT,Austria,AT,143.0,
1,124.0,2020-03-06,12,0,AT,Austria,AT,143.0,-19.0
2,,2020-02-10,0,0,AT,Austria,AT,143.0,
3,,2020-04-15,191,16,AT,Austria,AT,143.0,
4,,2020-04-29,58,20,AT,Austria,AT,143.0,
5,,2020-05-19,25,0,AT,Austria,AT,143.0,
6,,2020-02-06,0,0,AT,Austria,AT,143.0,
7,,2020-03-15,151,0,AT,Austria,AT,143.0,
8,,2020-05-11,10,3,AT,Austria,AT,143.0,
9,,2020-03-17,156,2,AT,Austria,AT,143.0,
10,,2020-01-02,0,0,AT,Austria,AT,143.0,
11,,2020-03-11,51,0,AT,Austria,AT,143.0,
12,,2020-03-08,25,0,AT,Austria,AT,143.0,
13,,2020-01-04,0,0,AT,Austria,AT,143.0,
14,,2020-03-04,6,0,AT,Austria,AT,143.0,
15,,2020-02-22,0,0,AT,Austria,AT,143.0,
16,,2020-02-01,0,0,AT,Austria,AT,143.0,
17,148.0,2020-01-10,0,0,AT,Austria,AT,143.0,5.0
18,,2020-03-02,4,0,AT,Austria,AT,143.0,
19,131.0,2019-12-06,0,0,AT,Austria,AT,143.0,-12.0
20,,2020-01-26,0,0,AT,Austria,AT,143.0,
21,,2020-03-29,594,0,AT,Austria,AT,143.0,
22,,2020-04-11,312,24,AT,Austria,AT,143.0,
23,,2020-05-06,17,6,AT,Austria,AT,143.0,
24,184.0,2019-11-15,0,0,AT,Austria,AT,143.0,41.0
25,,2020-01-09,0,0,AT,Austria,AT,143.0,
26,,2020-03-09,3,0,AT,Austria,AT,143.0,
27,,2020-05-17,72,0,AT,Austria,AT,143.0,
28,,2020-04-27,55,6,AT,Austria,AT,143.0,
29,100.0,2020-05-01,60,4,AT,Austria,AT,143.0,-43.0
30,,2020-04-16,136,9,AT,Austria,AT,143.0,
31,,2020-01-15,0,0,AT,Austria,AT,143.0,
32,,2020-04-20,48,9,AT,Austria,AT,143.0,
33,,2020-05-03,12,7,AT,Austria,AT,143.0,
34,107.0,2020-01-31,0,0,AT,Austria,AT,143.0,-36.0
35,170.0,2020-01-17,0,0,AT,Austria,AT,143.0,27.0
36,,2020-03-28,668,16,AT,Austria,AT,143.0,
37,,2020-02-24,0,0,AT,Austria,AT,143.0,
38,136.0,2019-11-01,0,0,AT,Austria,AT,143.0,-7.0
39,232.0,2020-02-07,0,0,AT,Austria,AT,143.0,89.0
40,,2020-01-14,0,0,AT,Austria,AT,143.0,
41,,2020-04-12,247,18,AT,Austria,AT,143.0,
42,,2020-02-20,0,0,AT,Austria,AT,143.0,
43,,2020-04-13,130,13,AT,Austria,AT,143.0,
44,,2020-03-01,3,0,AT,Austria,AT,143.0,
45,,2020-03-31,805,22,AT,Austria,AT,143.0,
46,,2020-02-27,0,0,AT,Austria,AT,143.0,
47,,2020-05-09,62,5,AT,Austria,AT,143.0,
48,,2020-05-13,36,3,AT,Austria,AT,143.0,
49,,2020-03-24,855,9,AT,Austria,AT,143.0,
50,,2020-01-18,0,0,AT,Austria,AT,143.0,
51,,2020-02-16,0,0,AT,Austria,AT,143.0,
52,107.0,2020-04-10,279,22,AT,Austria,AT,143.0,-36.0
53,121.0,2019-11-29,0,0,AT,Austria,AT,143.0,-22.0
54,,2020-04-14,106,18,AT,Austria,AT,143.0,
55,,2020-05-04,68,2,AT,Austria,AT,143.0,
56,,2020-01-05,0,0,AT,Austria,AT,143.0,
57,,2020-04-06,217,18,AT,Austria,AT,143.0,
58,,2020-04-23,91,31,AT,Austria,AT,143.0,
59,124.0,2019-12-13,0,0,AT,Austria,AT,143.0,-19.0
60,,2020-04-01,564,20,AT,Austria,AT,143.0,
61,,2020-02-26,2,0,AT,Austria,AT,143.0,
62,126.0,2020-04-17,78,17,AT,Austria,AT,143.0,-17.0
63,,2020-02-05,0,0,AT,Austria,AT,143.0,
64,109.0,2020-02-14,0,0,AT,Austria,AT,143.0,-34.0
65,,2020-01-25,0,0,AT,Austria,AT,143.0,
66,,2020-03-10,29,0,AT,Austria,AT,143.0,
67,135.0,2020-05-15,41,2,AT,Austria,AT,143.0,-8.0
68,,2020-01-13,0,0,AT,Austria,AT,143.0,
69,,2020-01-19,0,0,AT,Austria,AT,143.0,
70,,2020-01-22,0,0,AT,Austria,AT,143.0,
71,,2020-01-06,0,0,AT,Austria,AT,143.0,
72,,2020-01-12,0,0,AT,Austria,AT,143.0,
73,118.0,2019-12-20,0,0,AT,Austria,AT,143.0,-25.0
74,,2020-03-25,796,5,AT,Austria,AT,143.0,
75,,2020-05-18,14,1,AT,Austria,AT,143.0,
76,,2020-02-13,0,0,AT,Austria,AT,143.0,
77,,2020-05-07,65,2,AT,Austria,AT,143.0,
78,,2020-02-04,0,0,AT,Austria,AT,143.0,
79,,2020-01-07,0,0,AT,Austria,AT,143.0,
80,,2020-01-30,0,0,AT,Austria,AT,143.0,
81,125.0,2020-05-08,22,1,AT,Austria,AT,143.0,-18.0
82,,2020-05-16,63,2,AT,Austria,AT,143.0,
83,,2020-05-02,34,5,AT,Austria,AT,143.0,
84,,2020-04-02,529,18,AT,Austria,AT,143.0,
85,,2020-04-07,314,16,AT,Austria,AT,143.0,
86,,2020-05-12,87,2,AT,Austria,AT,143.0,
87,,2020-03-05,5,0,AT,Austria,AT,143.0,
88,,2020-02-15,0,0,AT,Austria,AT,143.0,
89,,2020-03-18,316,0,AT,Austria,AT,143.0,
90,130.0,2020-01-03,0,0,AT,Austria,AT,143.0,-13.0
91,88.0,2020-04-24,61,14,AT,Austria,AT,143.0,-55.0
92,,2020-04-05,241,18,AT,Austria,AT,143.0,
93,,2020-01-08,0,0,AT,Austria,AT,143.0,
94,,2020-02-29,2,0,AT,Austria,AT,143.0,
95,,2020-04-26,66,23,AT,Austria,AT,143.0,
96,,2020-05-05,31,2,AT,Austria,AT,143.0,
97,,2020-04-08,343,23,AT,Austria,AT,143.0,
98,,2020-02-09,0,0,AT,Austria,AT,143.0,
99,,2020-04-18,155,21,AT,Austria,AT,143.0,
100,115.0,2020-02-21,0,0,AT,Austria,AT,143.0,-28.0
101,152.0,2019-11-08,0,0,AT,Austria,AT,143.0,9.0
102,77.0,2020-03-20,550,2,AT,Austria,AT,143.0,-66.0
103,115.0,2019-11-22,0,0,AT,Austria,AT,143.0,-28.0
104,,2020-03-21,453,0,AT,Austria,AT,143.0,
105,,2020-03-03,4,0,AT,Austria,AT,143.0,
106,,2020-03-07,33,0,AT,Austria,AT,143.0,
107,,2020-03-30,522,18,AT,Austria,AT,143.0,
108,,2020-04-28,67,7,AT,Austria,AT,143.0,
109,,2020-02-17,0,0,AT,Austria,AT,143.0,
110,,2020-04-04,396,10,AT,Austria,AT,143.0,
111,,2019-12-31,0,0,AT,Austria,AT,143.0,
112,102.0,2020-01-24,0,0,AT,Austria,AT,143.0,-41.0
113,,2020-03-23,607,8,AT,Austria,AT,143.0,
114,120.0,2020-03-13,115,1,AT,Austria,AT,143.0,-23.0
115,,2020-03-16,205,0,AT,Austria,AT,143.0,
116,,2020-04-25,83,5,AT,Austria,AT,143.0,
117,,2020-01-23,0,0,AT,Austria,AT,143.0,
118,127.0,2019-10-18,0,0,AT,Austria,AT,143.0,-16.0
119,,2020-02-18,0,0,AT,Austria,AT,143.0,
120,,2020-04-19,59,12,AT,Austria,AT,143.0,
121,,2020-02-25,0,0,AT,Austria,AT,143.0,
122,,2020-01-11,0,0,AT,Austria,AT,143.0,
123,,2020-01-21,0,0,AT,Austria,AT,143.0,
124,,2020-05-20,78,3,AT,Austria,AT,143.0,
125,,2020-01-01,0,0,AT,Austria,AT,143.0,
126,,2020-02-08,0,0,AT,Austria,AT,143.0,
127,,2020-04-09,329,30,AT,Austria,AT,143.0,
128,101.0,2019-12-27,0,0,AT,Austria,AT,143.0,-42.0
