,numberOfEntriesPurchasedPerCountryBy10000,dateRep,cases,deaths,geoId,countriesAndTerritories,country,averageEntriesPerCountryBy10000,difference_from_average
0,,2020-02-03,0,0,AT,Austria,AT,129.0,
1,,2020-03-06,12,0,AT,Austria,AT,129.0,
2,,2020-02-10,0,0,AT,Austria,AT,129.0,
3,,2020-04-15,191,16,AT,Austria,AT,129.0,
4,,2020-04-29,58,20,AT,Austria,AT,129.0,
5,111.0,2019-12-24,0,0,AT,Austria,AT,129.0,-18.0
6,,2020-05-19,25,0,AT,Austria,AT,129.0,
7,,2020-02-06,0,0,AT,Austria,AT,129.0,
8,,2020-03-15,151,0,AT,Austria,AT,129.0,
9,,2020-05-11,10,3,AT,Austria,AT,129.0,
10,81.0,2020-03-17,156,2,AT,Austria,AT,129.0,-48.0
11,,2020-01-02,0,0,AT,Austria,AT,129.0,
12,,2020-03-11,51,0,AT,Austria,AT,129.0,
13,,2020-03-08,25,0,AT,Austria,AT,129.0,
14,,2020-01-04,0,0,AT,Austria,AT,129.0,
15,,2020-03-04,6,0,AT,Austria,AT,129.0,
16,,2020-02-22,0,0,AT,Austria,AT,129.0,
17,136.0,2019-11-05,0,0,AT,Austria,AT,129.0,7.0
18,,2020-02-01,0,0,AT,Austria,AT,129.0,
19,,2020-01-10,0,0,AT,Austria,AT,129.0,
20,,2020-03-02,4,0,AT,Austria,AT,129.0,
21,,2020-01-26,0,0,AT,Austria,AT,129.0,
22,,2020-03-29,594,0,AT,Austria,AT,129.0,
23,,2020-04-11,312,24,AT,Austria,AT,129.0,
24,,2020-05-06,17,6,AT,Austria,AT,129.0,
25,,2020-01-09,0,0,AT,Austria,AT,129.0,
26,,2020-03-09,3,0,AT,Austria,AT,129.0,
27,,2020-05-17,72,0,AT,Austria,AT,129.0,
28,,2020-04-27,55,6,AT,Austria,AT,129.0,
29,,2020-05-01,60,4,AT,Austria,AT,129.0,
30,112.0,2019-10-15,0,0,AT,Austria,AT,129.0,-17.0
